  ADD   WD  dataIN  dataOUT
  072    1   2362    XXXX
  072    0   1234    2362
  056    1   0127    XXXX
  056    0   1234    0127
  123    1   0033    XXXX
  123    0   1234    0033
  061    1   0090    XXXX
  061    0   1234    0090
  084    1   0232    XXXX
  084    0   1234    0232
  028    1   0999    XXXX
  028    0   1234    0999
